start
Average Time;Global Size;LocalSize
0.144475;1;1
0.0316353;2;1
0.031481;3;1
0.0315163;4;1
0.0268338;5;1
0.0237584;6;1
0.0235841;7;1
0.023422;8;1
0.0222886;9;1
0.0235381;10;1
0.0235868;11;1
0.0235558;12;1
0.0221307;13;1
0.022851;14;1
0.0234749;15;1
0.0588961;1;2
0.0591636;2;2
0.0221725;3;2
0.0235834;4;2
0.0234611;5;2
0.0234599;6;2
0.0222404;7;2
0.0234764;8;2
0.0235908;9;2
0.0235026;10;2
0.0221884;11;2
0.0239305;12;2
0.0236113;13;2
0.0235577;14;2
0.0222442;15;2
0.0586989;1;3
0.0228159;2;3
0.0603354;3;3
0.0238321;4;3
0.0223787;5;3
0.0236244;6;3
0.0235319;7;3
0.0237184;8;3
0.0226741;9;3
0.0237074;10;3
0.0235698;11;3
0.0236137;12;3
0.0226107;13;3
0.023376;14;3
0.0232966;15;3
0.0608058;1;4
0.0609546;2;4
0.0223012;3;4
0.0633717;4;4
0.022655;5;4
0.0238745;6;4
0.0237818;7;4
0.0235925;8;4
0.0227602;9;4
0.0235546;10;4
0.0235753;11;4
0.0229907;12;4
0.0232017;13;4
0.023809;14;4
0.0234659;15;4
0.0609908;1;5
0.0235007;2;5
0.0231464;3;5
0.0217988;4;5
0.0634251;5;5
0.0226111;6;5
0.0235777;7;5
0.0238323;8;5
0.023953;9;5
0.0225611;10;5
0.023556;11;5
0.0239441;12;5
0.0235565;13;5
0.0223069;14;5
0.0235603;15;5
0.0621564;1;6
0.0615714;2;6
0.0620022;3;6
0.023711;4;6
0.0235512;5;6
0.0640349;6;6
0.0237434;7;6
0.0221739;8;6
0.0238297;9;6
0.0236638;10;6
0.0235851;11;6
0.0223978;12;6
0.0228045;13;6
0.0238116;14;6
0.0237243;15;6
0.0619094;1;7
0.0230563;2;7
0.0230949;3;7
0.0212266;4;7
0.0232754;5;7
0.0234146;6;7
0.065522;7;7
0.0237398;8;7
0.0226483;9;7
0.0236123;10;7
0.0237374;11;7
0.0235016;12;7
0.0224099;13;7
0.0236707;14;7
0.0238125;15;7
0.0632563;1;8
0.063261;2;8
0.0223389;3;8
0.0626848;4;8
0.022542;5;8
0.0236857;6;8
0.0235057;7;8
0.0660212;8;8
0.0236282;9;8
0.0236437;10;8
0.0219145;11;8
0.0243673;12;8
0.0235724;13;8
0.0239089;14;8
0.0222554;15;8
0.0618782;1;9
0.0230029;2;9
0.0582256;3;9
0.0236452;4;9
0.0218565;5;9
0.0235264;6;9
0.0234985;7;9
0.0234725;8;9
0.065625;9;9
0.0237515;10;9
0.0221858;11;9
0.0234821;12;9
0.0236387;13;9
0.0234356;14;9
0.0222456;15;9
0.0640121;1;10
0.0625083;2;10
0.023536;3;10
0.0234835;4;10
0.0635505;5;10
0.0236025;6;10
0.0221736;7;10
0.0236247;8;10
0.0236185;9;10
0.0656569;10;10
0.0238082;11;10
0.0235929;12;10
0.0228162;13;10
0.0229847;14;10
0.0234189;15;10
0.0624349;1;11
0.0204542;2;11
0.0234678;3;11
0.0235856;4;11
0.0221181;5;11
0.0235436;6;11
0.0233464;7;11
0.0236213;8;11
0.0221214;9;11
0.0235131;10;11
0.0674667;11;11
0.0236015;12;11
0.023376;13;11
0.0234199;14;11
0.0221934;15;11
0.0655317;1;12
0.0634437;2;12
0.0640423;3;12
0.0636084;4;12
0.0222809;5;12
0.0655806;6;12
0.0232258;7;12
0.0227759;8;12
0.0223696;9;12
0.0235419;10;12
0.0229497;11;12
0.0671487;12;12
0.0235934;13;12
0.023412;14;12
0.0317285;15;12
0.0793679;1;13
0.0219417;2;13
0.021009;3;13
0.0212831;4;13
0.0212033;5;13
0.0233386;6;13
0.023514;7;13
0.0220835;8;13
0.021868;9;13
0.0226336;10;13
0.022325;11;13
0.0221071;12;13
0.0732434;13;13
0.031812;14;13
0.0261998;15;13
0.075645;1;14
0.0788693;2;14
0.031765;3;14
0.0307086;4;14
0.0236003;5;14
0.0210516;6;14
0.0770636;7;14
0.0232656;8;14
0.0226333;9;14
0.0235023;10;14
0.0230844;11;14
0.0220463;12;14
0.0217407;13;14
0.0741141;14;14
0.0226426;15;14
0.0773318;1;15
0.0226507;2;15
0.0759745;3;15
0.0236261;4;15
0.0755532;5;15
0.0236111;6;15
0.0236402;7;15
0.0216265;8;15
0.0210042;9;15
0.0212619;10;15
0.0227959;11;15
0.0219803;12;15
0.022227;13;15
0.0235112;14;15
0.074337;15;15
0.0797775;1;16
0.0831654;2;16
0.0290828;3;16
0.0788274;4;16
0.0213978;5;16
0.0211821;6;16
0.0208142;7;16
0.0768049;8;16
0.0216219;9;16
0.0230439;10;16
0.0235655;11;16
0.0237527;12;16
0.023164;13;16
0.0223386;14;16
0.0232038;15;16
