Average Time;Global Size;LocalSize
2.25854e-05;1;1
2.27594e-05;2;1
2.23875e-05;3;1
1.98865e-05;4;1
1.98221e-05;5;1
2.06923e-05;6;1
2.41947e-05;7;1
2.75874e-05;8;1
2.53892e-05;9;1
1.86443e-05;10;1
1.69969e-05;11;1
1.94645e-05;12;1
1.84631e-05;13;1
1.94311e-05;14;1
1.88184e-05;15;1
1.98317e-05;16;1
1.88231e-05;17;1
1.8394e-05;18;1
2.16413e-05;19;1
2.1112e-05;20;1
2.16055e-05;21;1
1.85633e-05;22;1
2.02489e-05;23;1
8.27074e-06;24;1
2.07067e-05;25;1
1.92428e-05;26;1
1.88088e-05;27;1
2.0206e-05;28;1
1.41621e-05;29;1
1.72353e-05;30;1
1.92928e-05;31;1
2.20227e-05;32;1
1.89161e-05;33;1
1.89519e-05;34;1
2.04253e-05;35;1
2.00462e-05;36;1
1.95098e-05;37;1
1.68967e-05;38;1
1.95861e-05;39;1
2.0206e-05;40;1
1.88708e-05;41;1
2.03753e-05;42;1
2.01654e-05;43;1
1.91689e-05;44;1
1.90926e-05;45;1
1.88255e-05;46;1
1.91689e-05;47;1
2.37179e-05;48;1
2.44856e-05;49;1
2.36487e-05;50;1
1.88541e-05;51;1
1.64533e-05;52;1
1.9424e-05;53;1
1.97411e-05;54;1
2.05469e-05;55;1
1.91593e-05;56;1
1.83964e-05;57;1
1.81127e-05;58;1
1.86539e-05;59;1
1.83415e-05;60;1
1.94764e-05;61;1
1.88541e-05;62;1
1.92952e-05;63;1
1.87731e-05;64;1
1.80244e-05;1;2
1.90592e-05;2;2
2.14887e-05;3;2
2.12979e-05;4;2
2.02036e-05;5;2
2.29096e-05;6;2
1.97268e-05;7;2
2.02298e-05;8;2
2.38085e-05;9;2
2.03156e-05;10;2
1.86729e-05;11;2
2.05803e-05;12;2
1.98269e-05;13;2
1.93024e-05;14;2
1.97101e-05;15;2
1.9834e-05;16;2
1.76215e-05;17;2
1.87516e-05;18;2
1.91975e-05;19;2
1.98007e-05;20;2
2.07734e-05;21;2
1.84417e-05;22;2
1.79911e-05;23;2
2.06709e-05;24;2
1.95432e-05;25;2
2.00248e-05;26;2
2.02608e-05;27;2
1.9629e-05;28;2
2.17533e-05;29;2
2.2471e-05;30;2
1.9784e-05;31;2
2.10786e-05;32;2
1.99461e-05;33;2
1.95384e-05;34;2
2.01464e-05;35;2
1.77908e-05;36;2
1.99747e-05;37;2
2.19727e-05;38;2
1.86586e-05;39;2
1.76668e-05;40;2
2.10714e-05;41;2
1.89018e-05;42;2
1.93954e-05;43;2
1.6818e-05;44;2
1.96838e-05;45;2
1.94073e-05;46;2
1.66392e-05;47;2
2.0237e-05;48;2
2.16246e-05;49;2
2.1801e-05;50;2
2.07782e-05;51;2
1.94144e-05;52;2
1.4894e-05;53;2
1.91474e-05;54;2
1.95479e-05;55;2
1.97887e-05;56;2
9.60588e-06;57;2
1.91808e-05;58;2
